case_id,pipeline,end_ns,end_to_end_ms,model_batch_id,model_batch_size,model_ms,policy_ms,retrieval_ms,start_ns,validation_ms
EXT-PAIR-0047-KO,C0_DIRECT_SLM,11101565268015,11119.719409,batch-000015,8,11119.711301,0.0,0.001172,11090445556714,0.006936
EXT-PAIR-0048-EN,C0_DIRECT_SLM,11101565268015,11119.714888999999,batch-000015,8,11119.711301,0.0,0.001402,11090445556714,0.002186
EXT-PAIR-0049-KO,C0_DIRECT_SLM,11101565268015,11119.725697,batch-000015,8,11119.711301,0.0,0.00157,11090445556714,0.012826
EXT-PAIR-0055-EN,C0_DIRECT_SLM,11101565268015,11119.720564,batch-000015,8,11119.711301,0.0,0.001251,11090445556714,0.008012
EXT-PAIR-0056-EN,C0_DIRECT_SLM,11101565268015,11119.717286000001,batch-000015,8,11119.711301,0.0,0.001174,11090445556714,0.004811
EXT-PAIR-0063-KO,C0_DIRECT_SLM,11101565268015,11119.721798999999,batch-000015,8,11119.711301,0.0,0.001106,11090445556714,0.009392
EXT-PAIR-0064-EN,C0_DIRECT_SLM,11112896383443,11330.887642000002,batch-000016,8,11330.881433,0.0,0.001152,11101565502010,0.005057
EXT-PAIR-0072-EN,C0_DIRECT_SLM,11112896383443,11330.884987,batch-000016,8,11330.881433,0.0,0.001067,11101565502010,0.002487
EXT-PAIR-0073-KO,C0_DIRECT_SLM,11112896383443,11330.890376000001,batch-000016,8,11330.881433,0.0,0.001367,11101565502010,0.007576
EXT-PAIR-0078-KO,C0_DIRECT_SLM,11112896383443,11330.889517,batch-000016,8,11330.881433,0.0,0.001212,11101565502010,0.006872
EXT-PAIR-0080-EN,C0_DIRECT_SLM,11112896383443,11330.884755,batch-000016,8,11330.881433,0.0,0.001158,11101565502010,0.002164
EXT-PAIR-0080-KO,C0_DIRECT_SLM,11112896383443,11330.885757,batch-000016,8,11330.881433,0.0,0.001871,11101565502010,0.002453
EXT-PAIR-0082-EN,C0_DIRECT_SLM,11112896383443,11330.884784000002,batch-000016,8,11330.881433,0.0,0.001108,11101565502010,0.002243
